Item,Quantity,UnitPrice,TotalCost
ONION,2,4.01,8.02
FERTILISERS,6,3.52,21.12
ONION,2,4.01,8.02
LEMONS,7,4.02,28.14
BANANA,10,1.16,11.6
LEMONS,7,4.02,28.14
ALMOND,9,6.24,56.16
LEMONS,7,4.02,28.14
OILSEEDS,10,4.97,49.7
MANGO,3,3.35,10.05
FERTILISERS,6,3.52,21.12
EGGS,4,4.23,16.92
ALMOND,9,6.24,56.16
LEMONS,7,4.02,28.14
EGGS,4,4.23,16.92
MILK,2,7.79,15.58
BANANA,10,1.16,11.6
OILSEEDS,10,4.97,49.7
EGGS,4,4.23,16.92
ONION,2,4.01,8.02
MILK,2,7.79,15.58
ALMOND,9,6.24,56.16
FERTILISERS,6,3.52,21.12
EGGS,4,4.23,16.92
ONION,2,4.01,8.02
ONION,2,4.01,8.02
EGGS,4,4.23,16.92
MANGO,3,3.35,10.05
ALMOND,9,6.24,56.16
MANGO,3,3.35,10.05
MANGO,3,3.35,10.05
MANGO,3,3.35,10.05
ALMOND,9,6.24,56.16
MILK,2,7.79,15.58
ONION,2,4.01,8.02
APPLES,3,7.17,21.51
BANANA,10,1.16,11.6
BANANA,10,1.16,11.6
APPLES,3,7.17,21.51
LEMONS,7,4.02,28.14
LEMONS,7,4.02,28.14
LEMONS,7,4.02,28.14
ALMOND,9,6.24,56.16
LEMONS,7,4.02,28.14
EGGS,4,4.23,16.92
EGGS,4,4.23,16.92
APPLES,3,7.17,21.51
MILK,2,7.79,15.58
BANANA,10,1.16,11.6
ONION,2,4.01,8.02
LEMONS,7,4.02,28.14
OILSEEDS,10,4.97,49.7
FERTILISERS,6,3.52,21.12
EGGS,4,4.23,16.92
FERTILISERS,6,3.52,21.12
FERTILISERS,6,3.52,21.12
ONION,2,4.01,8.02
MANGO,3,3.35,10.05
EGGS,4,4.23,16.92
APPLES,3,7.17,21.51
LEMONS,7,4.02,28.14
ALMOND,9,6.24,56.16
OILSEEDS,10,4.97,49.7
MILK,2,7.79,15.58
OILSEEDS,10,4.97,49.7
MANGO,3,3.35,10.05
ALMOND,9,6.24,56.16
OILSEEDS,10,4.97,49.7
ALMOND,9,6.24,56.16
OILSEEDS,10,4.97,49.7
EGGS,4,4.23,16.92
BANANA,10,1.16,11.6
LEMONS,7,4.02,28.14
ALMOND,9,6.24,56.16
APPLES,3,7.17,21.51
EGGS,4,4.23,16.92
LEMONS,7,4.02,28.14
BANANA,10,1.16,11.6
OILSEEDS,10,4.97,49.7
BANANA,10,1.16,11.6
ONION,2,4.01,8.02
ALMOND,9,6.24,56.16
FERTILISERS,6,3.52,21.12
OILSEEDS,10,4.97,49.7
APPLES,3,7.17,21.51
EGGS,4,4.23,16.92
EGGS,4,4.23,16.92
APPLES,3,7.17,21.51
ONION,2,4.01,8.02
OILSEEDS,10,4.97,49.7
ONION,2,4.01,8.02
LEMONS,7,4.02,28.14
MANGO,3,3.35,10.05
ONION,2,4.01,8.02
LEMONS,7,4.02,28.14
BANANA,10,1.16,11.6
MANGO,3,3.35,10.05
EGGS,4,4.23,16.92
MILK,2,7.79,15.58
FERTILISERS,6,3.52,21.12
